Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
ArmBase,0.0463984559338307,-0.000244629347594962,0.105803300473719,0,0,0,0.964885521729071,0.00586330404665839,4.42994692639774E-08,-0.00089996061315548,0.00737801555838317,3.46523353363795E-08,0.0112664844620711,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY/meshes/ArmBase.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY/meshes/ArmBase.STL,,ArmMountOnly_URDF2_PART-1,BaseCoord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
BaseToJ1,-0.00115949735646111,0.0892985869596572,-0.000828732075412772,0,0,0,1.06782865454781,0.00136349514209711,-0.000120523153646633,-4.27584675271316E-07,0.00110158912271039,8.73000906376952E-07,0.00106684454111778,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY/meshes/BaseToJ1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY/meshes/BaseToJ1.STL,,Base_URDF1_PART-1,J1_Coords,Axis_J1,J1,revolute,0,0,0.1795,1.5708,0,-1.5708,ArmBase,0,1,0,0,0,0,0,,,,,,,,
J2ToLink1,0.302150544196856,-0.00272064453324986,0.0215545407301324,0,0,0,0.692670468382813,0.000749127415490433,3.9226287616403E-05,1.68457558241152E-07,0.00521089609335111,-1.840147885579E-06,0.00581175230962762,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY/meshes/J2ToLink1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY/meshes/J2ToLink1.STL,,Link1_URDF3_PART_Updated-1,J2_Coords,Axis_J2,J2,revolute,0.0933,0.0723,-0.00028711,1.5708,0,1.5708,BaseToJ1,0,0,-1,0,0,-1.75,1.55,,,,,,,,
J3ToLink2,0.129966189328165,0.0732399519417659,-0.0854948314562504,0,0,0,1.1537312044344,0.00112066300003786,7.23793330716904E-05,-1.74454352298505E-05,0.00375619318284082,0.00018874261573622,0.00391910919823574,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY/meshes/J3ToLink2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY/meshes/J3ToLink2.STL,,Link2_URDF4_PART-1,J3_Coords,Axis_J3,J3,revolute,0.48498,-0.0042617,-1.3115E-05,0,0,0,J2ToLink1,0,0,-1,0,0,-2.85,2.5,,,,,,,,
Link2toFixedJ4,-0.000854379754759105,-0.00771635785912597,-0.0386037875911855,0,0,0,0.154860932901363,0.000107515397522057,-1.35212786806063E-07,2.57896496508744E-08,9.97191040148142E-05,1.40048478553512E-06,0.000103535419768887,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY/meshes/Link2toFixedJ4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY/meshes/Link2toFixedJ4.STL,,J4_URDF6_PART-1,J4_Coords,,J4_Fixed,fixed,0.46967,0.038251,0.032284,0,0,0,J3ToLink2,0,0,0,,,,,,,,,,,,
J4ToJ5,-0.000364137980536139,0.0341611309238566,0.0243774183852719,0,0,0,0.198378721031921,0.000132808935473041,-1.6412565053747E-07,-8.70461792617816E-08,0.000109691860796545,-1.48854544793139E-06,0.0001341658859767,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY/meshes/J4ToJ5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY/meshes/J4ToJ5.STL,,J5_URDF7_PART_Updated-1,J4_Coords,Axis_J4,J4,revolute,0,0,0,0,0,0,Link2toFixedJ4,0,0,-1,0,0,-2.85,0.75,,,,,,,,
J5ToJ6,0.000187662498820879,-0.0176175749877335,0.0215384550975011,0,0,0,0.171055632724638,0.000112193318899533,-2.61131401507365E-07,-5.05759999511541E-09,0.000121789710790359,-1.61568500189792E-07,9.87854347259817E-05,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY/meshes/J5ToJ6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY/meshes/J5ToJ6.STL,,J6_URDF8_PART-1,J5_Coords,Axis_J5,J5,revolute,8.5143E-05,0.081342,0.02135,0,-1.5708,0,J4ToJ5,0,-1,0,0,0,-1.88,2.45,,,,,,,,
J6ToEE,0.0313403405257765,-0.0154054918446249,0.0972054188783789,0,0,0,0.55463240302887,0.000376073601133984,-1.35551673721987E-05,-9.98929456115085E-07,0.000644904140085136,1.10813236344385E-05,0.000454272721609693,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY/meshes/J6ToEE.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY/meshes/J6ToEE.STL,,EE_URDF5_PART-1,J6_Coords,Axis_J6,J6,revolute,0.00018845,-0.020463,0.081623,0,0,0,J5ToJ6,0,0,1,0,0,0,0,,,,,,,,
