Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
ArmBase,0.0463984559338307,-0.000244629347594955,0.105803300473719,0,0,0,0.964885521729071,0.00586330404665839,4.42994692638961E-08,-0.000899960613155479,0.00737801555838317,3.46523353363265E-08,0.0112664844620711,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY_URDFONLY/meshes/ArmBase.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY_URDFONLY/meshes/ArmBase.STL,,ArmMountOnly_URDF2_PART-1,BaseCoord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
BaseToJ1,-0.0011594973564611,0.0892985869596572,-0.000828732075412786,0,0,0,1.06782865454781,0.00136349514209711,-0.000120523153646633,-4.27584675271316E-07,0.00110158912271039,8.73000906376955E-07,0.00106684454111778,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY_URDFONLY/meshes/BaseToJ1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY_URDFONLY/meshes/BaseToJ1.STL,,Base_URDF1_PART-1,J1_Coords,Axis_J1,J1,revolute,0,0,0.1795,1.5707963267949,0,-1.57079632679489,ArmBase,0,1,0,0,0,0,0,,,,,,,,
J2ToLink1,0.302150544196856,-0.00272064453324986,0.0215545407301324,0,0,0,0.692670468382813,0.000749127415490433,3.9226287616403E-05,1.68457558241151E-07,0.00521089609335111,-1.840147885579E-06,0.00581175230962762,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY_URDFONLY/meshes/J2ToLink1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY_URDFONLY/meshes/J2ToLink1.STL,,Link1_URDF3_PART_Updated-1,J2_Coords,Axis_J2,J2,revolute,0.0932995582406649,0.0723000000000009,-0.000287109904390681,1.5707963267949,0,1.5707963267949,BaseToJ1,0,0.00307727657437369,-0.999995265173233,0,0,-1.75,1.55,,,,,,,,
J3ToLink2,0.129966189327722,0.0732399519418239,-0.0854948314565011,0,0,0,1.15373120443012,0.00112066300003723,7.23793330717775E-05,-1.74454352295001E-05,0.00375619318284003,0.00018874261573637,0.00391910919823546,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY_URDFONLY/meshes/J3ToLink2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY_URDFONLY/meshes/J3ToLink2.STL,,Link2_URDF4_PART-1,J3_Coords,Axis_J3,J3,revolute,0.48498,-0.0042617,-1.3115E-05,0,0,0,J2ToLink1,0,0.0030773,-1,0,0,-2.85,2.5,,,,,,,,
Link2toFixedJ4,-0.000854379754758439,-0.00771635785912593,-0.0386037875911855,0,0,0,0.154860932901363,0.000107515397522057,-1.35212786806066E-07,2.57896496508754E-08,9.97191040148142E-05,1.40048478553512E-06,0.000103535419768887,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY_URDFONLY/meshes/Link2toFixedJ4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY_URDFONLY/meshes/Link2toFixedJ4.STL,,J4_URDF6_PART-1,J4_Coords,,J4_Fixed,fixed,0.46967,0.038251,0.032284,0,0,0,J3ToLink2,0,0,0,,,,,,,,,,,,
J4ToJ5,-0.000364137980536805,0.0341611309238566,0.0243774183852719,0,0,0,0.198378721031921,0.000132808935473041,-1.64125650537469E-07,-8.70461792617826E-08,0.000109691860796545,-1.48854544793139E-06,0.0001341658859767,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY_URDFONLY/meshes/J4ToJ5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY_URDFONLY/meshes/J4ToJ5.STL,,J5_URDF7_PART_Updated-1,J4_Coords,Axis_J4,J4,revolute,0,0,0,0,0,0,Link2toFixedJ4,0,0.0030773,-1,0,0,-2.85,0.75,,,,,,,,
J5ToJ6,0.000960068820124615,0.0034018297209792,0.0213979775114195,0,0,0,0.171055632724638,0.000112193318899533,-2.61131401507366E-07,-5.05759999511561E-09,0.000121789710790359,-1.61568500189792E-07,9.87854347259818E-05,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY_URDFONLY/meshes/J5ToJ6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY_URDFONLY/meshes/J5ToJ6.STL,,J6_URDF8_PART-1,J5_Coords,Axis_J5,J5,revolute,0.00022562,0.10236,0.020578,0,-1.5708,0,J4ToJ5,0.0030772,-0.99997,0.0065737,0,0,-1.88,2.45,,,,,,,,
J6ToEE,0.0313403405158062,-0.0154054918426727,0.0972054188871159,0,0,0,0.55463240309873,0.000376073601172609,-1.35551673726115E-05,-9.98929458571701E-07,0.000644904140123714,1.10813236363224E-05,0.000454272721612088,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY_URDFONLY/meshes/J6ToEE.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_PART_ASSEMBLY_URDFONLY/meshes/J6ToEE.STL,,EE_URDF5_PART-1,J6_Coords,Axis_J6,J6,revolute,0.00096086,0.00055601,0.081482,0,0,0,J5ToJ6,0.0027468,0.0065821,0.99997,0,0,0,0,,,,,,,,
