timestamp,temperature(C),pressure(Pa),humidity(%),wind speed(m/s)
2023-06-01 12:46:12.667112,25.530000686645508,85984.1015625,16.14453125,0.0
2023-06-01 12:46:13.667896,25.520000457763672,85982.3828125,16.1435546875,0.08094999939203262
2023-06-01 12:46:14.668226,25.520000457763672,85981.1640625,16.1435546875,0.16189999878406525
2023-06-01 12:46:15.669348,25.520000457763672,85982.328125,16.1318359375,0.4047500193119049
2023-06-01 12:46:16.671085,25.510000228881836,85981.546875,16.1083984375,0.647599995136261
2023-06-01 12:46:17.675138,25.510000228881836,85983.1796875,16.1201171875,0.7285500168800354
2023-06-01 12:46:18.675608,25.510000228881836,85982.34375,16.1201171875,0.647599995136261
2023-06-01 12:46:19.676946,25.510000228881836,85983.8125,16.130859375,0.4047500193119049
2023-06-01 12:46:20.674991,25.510000228881836,85983.8125,16.130859375,0.4047500193119049
2023-06-01 12:46:21.675604,25.5,85981.734375,16.130859375,0.4047500193119049
2023-06-01 12:46:22.678096,25.5,85981.0703125,16.119140625,0.5666499733924866
2023-06-01 12:46:23.679164,25.5,85983.3671875,16.130859375,0.647599995136261
2023-06-01 12:46:24.678795,25.489999771118164,85981.1796875,16.119140625,0.7285500168800354
2023-06-01 12:46:25.680325,25.489999771118164,85981.3125,16.119140625,0.647599995136261
2023-06-01 12:46:26.681022,25.489999771118164,85981.2890625,16.119140625,0.4047500193119049
2023-06-01 12:46:27.681187,25.489999771118164,85982.171875,16.130859375,0.24285000562667847
2023-06-01 12:46:28.681403,25.479999542236328,85982.75,16.130859375,0.16189999878406525
2023-06-01 12:46:29.683364,25.479999542236328,85983.421875,16.119140625,0.08094999939203262
2023-06-01 12:46:30.682952,25.479999542236328,85980.9296875,16.142578125,0.08094999939203262
2023-06-01 12:46:31.686143,25.489999771118164,85983.4765625,16.154296875,0.0
2023-06-01 12:46:32.684828,25.489999771118164,85982.6171875,16.142578125,0.08094999939203262
2023-06-01 12:46:33.686144,25.479999542236328,85981.09375,16.130859375,0.0
2023-06-01 12:46:34.687108,25.479999542236328,85983.21875,16.130859375,0.0
2023-06-01 12:46:35.689435,25.479999542236328,85981.703125,16.1298828125,0.0
2023-06-01 12:46:36.690705,25.479999542236328,85984.75,16.142578125,0.0
2023-06-01 12:46:37.691064,25.479999542236328,85982.7265625,16.154296875,0.0
2023-06-01 12:46:38.691951,25.479999542236328,85984.078125,16.166015625,0.0
2023-06-01 12:46:39.697641,25.479999542236328,85982.859375,16.177734375,0.0
2023-06-01 12:46:40.697674,25.479999542236328,85981.5625,16.166015625,0.0
2023-06-01 12:46:41.700721,25.479999542236328,85986.21875,16.154296875,0.0
2023-06-01 12:46:42.698888,25.469999313354492,85983.109375,16.166015625,0.0
2023-06-01 12:46:43.702224,25.469999313354492,85983.40625,16.177734375,0.0
2023-06-01 12:46:44.700931,25.469999313354492,85984.765625,16.177734375,0.0
2023-06-01 12:46:45.700852,25.469999313354492,85982.25,16.177734375,0.0
2023-06-01 12:46:46.705526,25.469999313354492,85982.21875,16.189453125,0.0
2023-06-01 12:46:47.708473,25.459999084472656,85981.6953125,16.177734375,0.0
2023-06-01 12:46:48.708989,25.459999084472656,85979.9765625,16.1533203125,0.08094999939203262
2023-06-01 12:46:49.707434,25.450000762939453,85979.25,16.1533203125,0.0
2023-06-01 12:46:50.709130,25.450000762939453,85980.078125,16.1650390625,0.0
2023-06-01 12:46:51.711643,25.440000534057617,85978.3125,16.1767578125,0.0
2023-06-01 12:46:52.713135,25.450000762939453,85982.546875,16.1767578125,0.0
2023-06-01 12:46:53.713560,25.440000534057617,85979.46875,16.1884765625,0.0
2023-06-01 12:46:54.715411,25.450000762939453,85984.484375,16.1767578125,0.0
2023-06-01 12:46:55.713266,25.440000534057617,85982.59375,16.1767578125,0.0
2023-06-01 12:46:56.717080,25.440000534057617,85983.03125,16.1767578125,0.0
2023-06-01 12:46:57.718744,25.43000030517578,85983.8125,16.1767578125,0.0
2023-06-01 12:46:58.716951,25.43000030517578,85979.265625,16.1884765625,0.0
2023-06-01 12:46:59.721723,25.43000030517578,85981.734375,16.17578125,0.0
