cuvette,scan,valid,bca(450nm),bca(500nm),bca(550nm),bca(570nm),bca(600nm),bca(650nm),fda(415nm),fda(445nm),fda(480nm),fda(515nm),fda(clear),fda(NIR),fda(555nm),fda(590nm),fda(630nm),fda(680nm),fda(clear),fda(NIR)
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,VALID,11,13,18,36,10,16,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,VALID,23,18,8,20,4,11,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,7,5,6,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0
5,0,VALID,15,10,5,10,3,7,0,0,0,0,0,0,0,0,0,0,0,0
6,0,VALID,7,4,4,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0
7,0,VALID,14,8,4,8,3,6,0,0,0,0,0,0,0,0,0,0,0,0
8,0,VALID,6,2,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
9,0,VALID,13,9,4,8,2,7,0,0,0,0,0,0,0,0,0,0,0,0
10,0,VALID,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,0,VALID,15,9,4,9,3,7,0,0,0,0,0,0,0,0,0,0,0,0
12,0,VALID,5,2,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,VALID,14,11,5,11,3,7,0,0,0,0,0,0,0,0,0,0,0,0
14,0,VALID,8,3,4,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0
15,0,VALID,33,18,11,24,7,12,0,0,0,0,0,0,0,0,0,0,0,0
16,0,VALID,6,3,3,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0
17,0,VALID,20,13,7,14,4,9,0,0,0,0,0,0,0,0,0,0,0,0
18,0,VALID,6,4,4,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0
19,0,VALID,10,5,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0
20,0,VALID,15,1,24,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,VALID,13,8,2,12,1,5,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,3,6,2,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0
3,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,5,4,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
5,0,VALID,10,8,2,13,1,5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,VALID,4,4,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
7,0,VALID,9,5,2,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0
8,0,VALID,4,5,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
9,0,VALID,8,4,1,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0
10,0,VALID,4,4,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
11,0,VALID,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
12,0,VALID,4,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13,0,VALID,8,5,2,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0
14,0,VALID,5,4,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
15,0,VALID,7,5,2,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0
16,0,VALID,8,6,1,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0
17,0,VALID,5,3,1,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18,0,VALID,4,5,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
19,0,VALID,4,4,1,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0
20,0,VALID,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,0,VALID,11,7,2,11,1,5,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,2,5,2,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0
3,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,5,4,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
5,0,VALID,10,8,2,12,1,5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,VALID,4,4,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
7,0,VALID,9,5,2,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0
8,0,VALID,4,4,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
9,0,VALID,8,4,1,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0
10,0,VALID,4,4,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
11,0,VALID,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,0,VALID,4,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13,0,VALID,8,5,2,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0
14,0,VALID,5,4,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
15,0,VALID,6,4,2,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0
16,0,VALID,7,5,1,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0
17,0,VALID,5,3,1,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18,0,VALID,4,5,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
19,0,VALID,4,4,1,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0
20,0,VALID,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,0,VALID,13,8,2,12,1,5,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,3,6,2,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0
3,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,5,4,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
5,0,VALID,10,8,2,12,1,5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,VALID,4,4,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
7,0,VALID,9,5,2,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0
8,0,VALID,4,4,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
9,0,VALID,7,3,1,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0
10,0,VALID,4,4,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
11,0,VALID,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,0,VALID,4,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13,0,VALID,8,5,2,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0
14,0,VALID,5,4,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
15,0,VALID,6,4,2,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0
16,0,VALID,7,6,1,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0
17,0,VALID,4,3,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18,0,VALID,3,4,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
19,0,VALID,4,4,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
20,0,VALID,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,VALID,9,6,2,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,3,5,2,8,1,6,0,0,0,0,0,0,0,0,0,0,0,0
3,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,5,4,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
5,0,VALID,9,8,2,12,1,5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,VALID,4,5,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
7,0,VALID,8,5,2,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0
8,0,VALID,4,4,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
9,0,VALID,7,3,1,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0
10,0,VALID,4,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
11,0,VALID,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,0,VALID,4,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13,0,VALID,7,5,2,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0
14,0,VALID,4,4,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
15,0,VALID,5,4,2,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0
16,0,VALID,6,4,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0
17,0,VALID,4,3,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
18,0,VALID,3,5,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
19,0,VALID,3,3,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20,0,VALID,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,VALID,6,4,1,7,1,3,16,64,29,68,185,4,94,73,53,31,185,4
2,0,VALID,2,5,2,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0
