cuvette,scan,valid,bca(450nm),bca(500nm),bca(550nm),bca(570nm),bca(600nm),bca(650nm),fda(415nm),fda(445nm),fda(480nm),fda(515nm),fda(clear),fda(NIR),fda(555nm),fda(590nm),fda(630nm),fda(680nm),fda(clear),fda(NIR)
1,0,VALID,0,0,0,0,0,0,47,32,66,1060,1854,110,1163,728,451,198,1853,110
2,0,VALID,0,0,0,0,0,0,3,36,10,29,63,2,52,30,21,18,63,4
2,0,VALID,0,0,0,0,0,0,1,22,7,32,68,2,58,33,22,18,67,2
3,0,VALID,0,0,0,0,0,0,24,91,33,76,249,6,88,70,51,23,249,4
4,0,VALID,0,0,0,0,0,0,8,74,35,61,67,4,88,99,62,44,67,4
