2025-05-25T09:22:01.912775,0,0,40.2461491333,-111.647164885
2025-05-25T09:22:02.413001,40.2461883333,-111.6471808333,40.2461491967,-111.6471649033
2025-05-25T09:22:02.912775,40.2461883333,-111.6471808333,40.2461492433,-111.6471649117
2025-05-25T09:22:03.412775,40.2461881667,-111.6471806667,40.2461492433,-111.6471649117
2025-05-25T09:22:03.912768,40.2461881667,-111.6471806667,40.2461492983,-111.6471649317
2025-05-25T09:22:04.412770,40.2461881667,-111.6471803333,40.2461493283,-111.6471649317
2025-05-25T09:22:04.912769,40.2461881667,-111.6471803333,40.2461493567,-111.64716493
2025-05-25T09:22:05.412791,40.246188,-111.6471801667,40.2461493733,-111.6471649367
2025-05-25T09:22:05.912783,40.246188,-111.6471801667,40.2461493867,-111.6471649483
2025-05-25T09:22:06.412773,40.246188,-111.64718,40.2461493867,-111.6471649483
2025-05-25T09:22:06.912767,40.246188,-111.64718,40.2461494317,-111.647165065
2025-05-25T09:22:07.412772,40.246188,-111.6471798333,40.246149465,-111.6471651267
2025-05-25T09:22:07.912775,40.246188,-111.6471798333,40.2461495,-111.6471652183
2025-05-25T09:22:08.413072,40.2461878333,-111.6471796667,40.246149515,-111.64716529
2025-05-25T09:22:08.912774,40.2461878333,-111.6471796667,40.24614951,-111.6471652833
2025-05-25T09:22:09.412772,40.2461878333,-111.6471795,40.24614951,-111.6471652833
2025-05-25T09:22:09.912775,40.2461878333,-111.6471795,40.2461494933,-111.647165165
2025-05-25T09:22:10.412776,40.2461876667,-111.6471793333,40.2461498967,-111.6471648433
2025-05-25T09:22:10.912772,40.2461876667,-111.6471793333,40.2461498983,-111.6471648233
2025-05-25T09:22:11.413072,40.2461875,-111.6471786667,40.2461498967,-111.6471648083
2025-05-25T09:22:11.912774,40.2461875,-111.6471786667,40.2461498967,-111.6471648033
2025-05-25T09:22:12.412774,40.2461873333,-111.6471783333,40.2461498967,-111.6471648033
2025-05-25T09:22:12.913041,40.2461873333,-111.6471783333,40.2461498917,-111.6471648
2025-05-25T09:22:13.412896,40.246187,-111.6471778333,40.2461498883,-111.6471648017
